Food,Measure,Grams,Calories,Protein,Fat,Sat.Fat,Fiber,Carbs,Category
Brussels sprouts,1 cup,100,46.15,4.62,,0,1.31,9.23,Vegetables A-E
Sauerkraut,1 cup,100,21.33,0.67,,0,0.8,4.67,Vegetables A-E
Steamed cabbage,1 cup,100,23.53,1.18,,0,0.76,5.29,Vegetables A-E
Carrots,1 cup,100,30,0.67,,0,0.6,6.67,Vegetables A-E
"Raw, grated",1 cup,100,40.91,0.91,,0,1.09,9.09,Vegetables A-E
"Strips, from raw",1 mad.,100,40,,,0,1,10,Vegetables A-E
Cauliflower,1 cup,100,25,2.5,,0,0.83,5,Vegetables A-E
Celery,1 cup,100,20,1,,0,1,4,Vegetables A-E
Stalk raw,1 large,100,12.5,2.5,,0,0.75,2.5,Vegetables A-E
Chard steamed,1 cup,100,20,1.33,,0,0.93,4.67,Vegetables A-E
Collards,1 cup,100,34,3.33,,0,1.33,5.33,Vegetables A-E
Corn,1 ear,100,92,3,1,,0.8,21,Vegetables A-E
cooked or canned,1 cup,100,85,2.5,,0,0.8,20.5,Vegetables A-E
Cucumbers,8,100,12,,0,0,0.4,2,Vegetables A-E
Dandelion greens,1 cup,100,44.44,2.78,0.56,0,1.78,8.89,Vegetables A-E
Eggplant,1 cup,100,16.67,1.11,,0,0.56,5,Vegetables A-E
Endive,2 oz.,100,17.54,1.75,,0,1.05,3.51,Vegetables A-E
Kale,1 cup,100,40.91,3.64,0.91,0,0.82,7.27,Vegetables F-P
Kohlrabi,1 cup,100,28.57,1.43,,0,1.07,6.43,Vegetables F-P
"Lambs quarters, steamed",1 cup,100,32,3.33,,0,2.13,4.67,Vegetables F-P
Lentils,1 cup,100,106,7.5,,0,1.2,19,Vegetables F-P
Lettuce,1/4 head,100,14,1,,0,0.5,2,Vegetables F-P
Iceberg,1/4 head,100,13,,,0,0.5,3,Vegetables F-P
Mushrooms canned,4,100,10,1.67,,0,,3.33,Vegetables F-P
Mustard greens,1,100,21.43,2.14,,0,0.86,4.29,Vegetables F-P
Okra,1 1/3 cups,100,32,1,,0,1,7,Vegetables F-P
Onions,1,100,38.1,0.95,,0,0.76,8.57,Vegetables F-P
"Raw, green",6 small,100,44,,,0,2,10,Vegetables F-P
Parsley,2 T.,100,4,,,0,,,Vegetables F-P
Parsnips,1 cup,100,61.29,1.29,0.65,0,1.94,14.19,Vegetables F-P
Peas,1 cup,100,66,3,,0,0.1,13,Vegetables F-P
"Fresh, steamed peas",1 cup,100,70,5,,0,2.2,12,Vegetables R-Z
Frozen peas,1 cup,100,,5,,0,1.8,12,Vegetables R-Z
Split cooked peas,4 cups,100,115,8,,0,0.4,21,Vegetables R-Z
heated peas,1 cup,100,53,3,,0,1,10,Vegetables R-Z
Peppers canned,1 pod,100,26.32,,,0,,5.26,Vegetables R-Z
"Peppers Raw, green, sweet",1 large,100,25,1,,0,1.4,6,Vegetables R-Z
Peppers with beef and crumbs,1 med.,100,170,12.67,6,5.33,0.67,16,Vegetables R-Z
"Potatoes, baked",1 med.,100,100,2,,0,0.5,22,Vegetables R-Z
French-fried,10 pieces,100,258.33,-1.67,11.67,5,0.67,33.33,Vegetables R-Z
Potatoes Mashed with milk and butter,1 cup,100,115,2,6,5.5,0.35,14,Vegetables R-Z
"Potatoes, pan-tried",3/4 cup,100,268,4,14,6,0.4,33,Vegetables R-Z
Scalloped with cheese potatoes,3/4 cup,100,145,6,8,7,0.4,14,Vegetables R-Z
Steamed potatoes before peeling,1 med.,100,80,2,,0,0.4,19,Vegetables R-Z
Potato chips,10,100,550,5,35,20,,50,Vegetables R-Z
Radishes,5 small,100,20,,0,0,0.6,4,Vegetables R-Z
Rutabagas,4 cups,100,32,,0,0,1.4,8,Vegetables R-Z
Soybeans,1 cup,100,130,11,5.5,0,1.6,10,Vegetables R-Z
Spinach,1 cup,100,26,3,,0,1,3,Vegetables R-Z
Squash,1 cup,100,16.67,0.48,,0,0.29,3.81,Vegetables R-Z
"Winter, mashed",1 cup,100,47.5,2,,0,1.3,11.5,Vegetables R-Z
Sweet potatoes,1 med.,100,140.91,1.82,0.91,0,0.91,32.73,Vegetables R-Z
Candied,1 med.,100,134.29,1.14,3.43,2.86,0.86,45.71,Vegetables R-Z
Tomatoes,1 cup,100,20.83,0.83,,0,0.42,3.75,Vegetables R-Z
"Raw, 2 by 2 1/2",1 med.,100,20,0.67,,0,0.4,4,Vegetables R-Z
Tomato juice,1 cup,100,20.83,0.83,,0,0.25,4.17,Vegetables R-Z
Tomato catsup,1 T.,100,88.24,,,0,,23.53,Vegetables R-Z
Turnip greens,1 cup,100,31.03,2.76,0.69,0,1.24,5.52,Vegetables R-Z
"Turnips, steamed",1 cup,100,25.81,0.65,,0,1.16,5.81,Vegetables R-Z
"Watercress stems, raw",1 cup,100,18,2,,0,0.6,2,Fruits A-F
Apple juice canned,1 cup,100,50,,0,0,0,13.6,Fruits A-F
Apple vinegar,1/3 cup,100,14,,0,0,0,3,Fruits A-F
"Apples, raw",1 med,100,53.85,,,0,0.77,13.85,Fruits A-F
Stewed or canned,1 cup,100,41.67,,,0,0.83,10.83,Fruits A-F
Apricots,1 cup,100,88,0.8,,0,0.4,22.8,Fruits A-F
"Dried, uncooked",1/2 cup,100,293.33,5.33,,0,1.33,66.67,Fruits A-F
Fresh,3 med.,100,48.25,0.88,,0,0.61,12.28,Fruits A-F
"Nectar, or juice",1 cup,100,56,0.4,,0,0.8,14.4,Fruits A-F
Avocado,1/2 large,100,171.3,1.85,16.67,11.11,1.67,5.56,Fruits A-F
Banana,1 med.,100,56.67,0.67,,0,0.6,15.33,Fruits A-F
Blackberries,1 cup,100,59.03,1.39,0.69,0,4.58,13.19,Fruits A-F
Blueberries,1 cup,100,98,0.4,,0,0.8,26,Fruits A-F
Cantaloupe,1/2 med.,100,10.53,0.26,,0,0.58,2.37,Fruits A-F
Cherries,1 cup,100,38.91,0.78,0.39,0,0.78,10.12,Fruits A-F
"Fresh, raw",1 cup,100,57.02,0.88,,0,0.7,13.16,Fruits A-F
Cranberry sauce sweetened,1 cup,100,191.34,,,0,0.43,51.26,Fruits A-F
Dates,1 cup,100,283.71,2.25,,0,2.02,75.28,Fruits A-F
Figs,2,100,285.71,4.76,,0,4.52,71.43,Fruits A-F
"Fresh, raw figs",3 med.,100,78.95,1.75,,0,0.88,19.3,Fruits A-F
figs Canned with syrup ,3,100,113.04,0.87,,0,0.87,27.83,Fruits A-F
"Fruit cocktail, canned",1 cup,100,76.17,0.39,,0,0.2,19.53,Fruits A-F
Grapefruit sections,1 cup,100,68,0.4,,0,0.2,17.6,Fruits G-P
"Grapefruit, fresh, 5"" diameter",01-Feb,100,17.54,0.35,,,0.35,4.91,Fruits G-P
Grapefruit juice,1 cup,100,40,0.4,,0,0.4,9.6,Fruits G-P
Grapes,1 cup,100,45.75,0.65,,0,0.52,10.46,Fruits G-P
"European, as Muscat, Tokay",1 cup,100,62.5,0.62,,0,0.44,16.25,Fruits G-P
Grape juice,1 cup,100,64,0.4,,0,,16.8,Fruits G-P
Lemon juice,1/2 cup,100,24,,,0,,8,Fruits G-P
Lemonade concentratefrozen,6-oz. can,100,195.45,,,0,,50.91,Fruits G-P
Limeade concentrate frozen,6-oz. can,100,185.78,,,0,,49.54,Fruits G-P
Olives large,10,100,110.77,1.54,15.38,13.85,1.23,4.62,Fruits G-P
OlivesRipe,10,100,161.54,1.54,20,18.46,1.54,1.54,Fruits G-P
"Oranges 3"" diameter",1 med.,100,33.33,1.11,,,0.56,8.89,Fruits G-P
Orange juice,8 oz. or,100,44.8,0.8,,0,0.08,10,Fruits G-P
Frozen ,6-oz. can,100,157.14,0.95,,,0.19,37.14,Fruits G-P
Papaya,1/2 med.,100,37.5,0.5,,0,0.9,9,Fruits G-P
Peaches,1 cup,100,77.82,0.39,,0,0.39,20.23,Fruits G-P
"Fresh, raw",1 med.,100,30.7,0.88,,0,0.53,8.77,Fruits G-P
Pears,1 cup,100,76.47,0.39,,0,0.78,19.61,Fruits G-P
"Raw, 3 by 2V",1 med.,100,54.95,0.55,0.55,0,1.1,13.74,Fruits G-P
Persimmons,1 med.,100,60,0.8,,0,1.6,16,Fruits G-P
Pineapple,1 large slice,100,77.87,,,0,0.33,21.31,Fruits G-P
Pineapple Crushed,1 cup,100,78.85,0.38,,0,0.27,21.15,Fruits G-P
"Raw, diced",1 cup,100,53.57,0.71,,0,0.43,13.57,Fruits G-P
Pineapple juice,1 cup,100,48,0.4,,0,0.08,12.8,Fruits G-P
Plums,1 cup,100,72.27,0.39,,0,0.27,19.53,Fruits G-P
"Raw, 2"" diameter",1,100,50,,,0,0.33,11.67,Fruits G-P
Prunes,1 cup,100,111.11,1.11,0.37,0,0.3,30,Fruits G-P
Prune juice,1 cup,100,70.83,0.42,,0,0.29,18.75,Fruits G-P
Raisins,1/2 cup,100,261.36,2.27,,0,0.8,93.18,Fruits R-Z
Raspberries,1/2 cup,100,100,,,0,2,25,Fruits R-Z
"Raw, red",3/4 cup,100,57,,,0,5,14,Fruits R-Z
Rhubarb sweetened,1 cup,100,142.59,0.37,,0,0.7,36.3,Fruits R-Z
Strawberries,1 cup,100,106.61,0.44,,0,0.57,26.43,Fruits R-Z
Raw,1 cup,100,36.24,,,0,1.28,8.05,Fruits R-Z
Tangerines,I med.,100,35.09,0.88,,0,0.88,8.77,Fruits R-Z
Watermelon,1 wedge,100,12.97,0.22,0.11,0,0.39,3.14,Fruits R-Z
Biscuits,1,100,342.11,7.89,10.53,7.89,,47.37,"Breads, cereals, fastfood,grains"
Bran flakes,1 cup,100,468,12,,0,0.4,128,"Breads, cereals, fastfood,grains"
"Bread, cracked wheat",1 slice,100,260.87,8.7,4.35,4.35,0.43,52.17,"Breads, cereals, fastfood,grains"
Rye,1 slice,100,239.13,8.7,4.35,4.35,0.43,52.17,"Breads, cereals, fastfood,grains"
"White, 20 slices, or",1-lb. loaf,100,,8.59,3.3,2.64,1.98,50.44,"Breads, cereals, fastfood,grains"
Whole-wheat,1-lb. loaf,100,,10.57,3.08,2.2,14.87,47.58,"Breads, cereals, fastfood,grains"
Whole-wheat,1 slice,100,239.13,8.7,4.35,0,1.35,47.83,"Breads, cereals, fastfood,grains"
Corn bread ground meal,1 serving,100,200,6,8,4,0.6,30,"Breads, cereals, fastfood,grains"
Cornflakes,1 cup,100,440,8,,0,0.4,100,"Breads, cereals, fastfood,grains"
Corn grits cooked,1 cup,100,49.59,3.31,,0,0.08,11.16,"Breads, cereals, fastfood,grains"
Corn meal,1 cup,100,305.08,7.63,3.39,1.69,1.36,62.71,"Breads, cereals, fastfood,grains"
Crackers,2 med.,100,392.86,7.14,7.14,0,,71.43,"Breads, cereals, fastfood,grains"
"Soda, 2 1/2 square",2,100,409.09,9.09,9.09,0,,72.73,"Breads, cereals, fastfood,grains"
Farina,1 cup,100,44.12,1.26,,0,3.36,9.24,"Breads, cereals, fastfood,grains"
Wheat (all purpose),1 cup,100,363.64,10.91,0.91,0,0.27,76.36,"Breads, cereals, fastfood,grains"
Wheat (whole),1 cup,100,325,10.83,1.67,0,2.33,65.83,"Breads, cereals, fastfood,grains"
Macaroni,1 cup,100,110.71,3.57,0.71,0,0.07,22.86,"Breads, cereals, fastfood,grains"
Baked with cheese,1 cup,100,215.91,8.18,11.36,10.91,,20,"Breads, cereals, fastfood,grains"
Muffins,1,100,281.25,8.33,10.42,8.33,,39.58,"Breads, cereals, fastfood,grains"
Noodles,1 cup,100,125,4.38,1.25,1.25,0.06,23.12,"Breads, cereals, fastfood,grains"
Oatmeal,1 cup,100,63.56,2.12,1.27,0.85,1.95,11.02,"Breads, cereals, fastfood,grains"
"Pancakes 4"" diam.",4,100,231.48,6.48,8.33,0,0.09,25.93,"Breads, cereals, fastfood,grains"
"Wheat, pancakes 4"" diam.",4,100,231.48,6.48,8.33,0,0.09,25.93,"Breads, cereals, fastfood,grains"
"Pizza 14"" diam.",1 section,100,240,10.67,8,6.67,,30.67,"Breads, cereals, fastfood,grains"
Popcorn salted,2 cups,100,542.86,10.71,25,7.14,1.79,71.43,"Breads, cereals, fastfood,grains"
Puffed rice,1 cup,100,392.86,,,0,,85.71,"Breads, cereals, fastfood,grains"
Puffed wheat presweetened,1 cup,100,375,3.57,,0,2.14,92.86,"Breads, cereals, fastfood,grains"
Rice,1 cup,100,359.62,7.21,1.44,0,0.58,74.04,"Breads, cereals, fastfood,grains"
Converted,1 cup,100,362.03,7.49,,0,0.21,75.94,"Breads, cereals, fastfood,grains"
White,1 cup,100,362.3,7.33,,0,0.16,78.53,"Breads, cereals, fastfood,grains"
Rice flakes,1 cup,100,383.33,6.67,,0,0.33,86.67,"Breads, cereals, fastfood,grains"
Rice polish,1/2 cup,100,264,12,12,0,2.4,56,"Breads, cereals, fastfood,grains"
Rolls,1 large,100,822,6,24,22,0.2,46,"Breads, cereals, fastfood,grains"
of refined flour,1,100,302.63,7.89,5.26,5.26,,52.63,"Breads, cereals, fastfood,grains"
whole-wheat,1,100,255,10,2.5,0,0.25,50,"Breads, cereals, fastfood,grains"
Spaghetti with meat sauce,1 cup,100,114,5.2,4,2.4,0.2,14,"Breads, cereals, fastfood,grains"
with tomatoes and cheese,1 cup,100,84,2.4,2,1.2,0.2,14.4,"Breads, cereals, fastfood,grains"
Spanish rice,1 cup,100,86.8,1.6,1.6,0,0.48,16,"Breads, cereals, fastfood,grains"
Shredded wheat biscuit,1,100,357.14,10.71,3.57,0,2.5,82.14,"Breads, cereals, fastfood,grains"
Waffles,1,100,320,10.67,12,1.33,0.13,40,"Breads, cereals, fastfood,grains"
Wheat germ,1 cup,100,360.29,25,10.29,4.41,3.68,50,"Breads, cereals, fastfood,grains"
Wheat-germ cereal toasted,1 cup,100,400,30.77,10.77,4.62,3.85,55.38,"Breads, cereals, fastfood,grains"
Wheat meal cereal unrefined,3/4 cup,100,343.33,13.33,3.33,0,2.33,83.33,"Breads, cereals, fastfood,grains"
"Wheat, cooked",3/4 cup,100,137.5,6,0.5,0,2.2,17.5,"Breads, cereals, fastfood,grains"
Bean soups,1 cup,100,76,3.2,2,1.6,0.24,12,Soups
Beef soup,1 cup,100,40,2.4,1.6,1.6,0.2,4.4,Soups
Bouillon,1 cup,100,10,2.08,0,0,0,0,Soups
chicken soup,1 cup,100,30,1.6,0.8,0.8,0,4,Soups
Clam chowder,1 cup,100,33.33,1.96,0.78,3.14,0.2,4.71,Soups
Cream soups,1 cup,100,78.43,2.75,4.71,4.31,0.47,7.06,Soups
Noodle,1 cup,100,46,2.4,1.6,1.2,0.08,5.2,Soups
Split-pea soup,1 cup,100,58.8,3.2,1.2,1.2,0.2,10,Soups
Tomato soup,1 cup,100,71.43,2.45,2.86,2.45,0.2,8.98,Soups
Vegetable,1 cup,100,32,1.6,0.8,0.8,0,5.6,Soups
Apple betty,1 serving,100,150,1,4,0,0.5,29,"Desserts, sweets"
Bread pudding,3/4 cup,100,187,5.5,6,5.5,0.1,28,"Desserts, sweets"
Cakes,1 slice,100,275,7.5,,0,0,57.5,"Desserts, sweets"
Chocolate fudge,1 slice,100,350,4.17,11.67,10,0.25,58.33,"Desserts, sweets"
Cupcake,1,100,320,6,6,4,,62,"Desserts, sweets"
Fruit cake,1 slice,100,350,6.67,13.33,10,0.67,56.67,"Desserts, sweets"
Gingerbread,1 slice,100,327.27,3.64,12.73,10.91,,50.91,"Desserts, sweets"
"Plain, with no icing",1 slice,100,327.27,7.27,9.09,7.27,,56.36,"Desserts, sweets"
Sponge cake,1 slice,100,287.5,7.5,5,5,0,55,"Desserts, sweets"
Candy,5,100,416,,12,12,0,76,"Desserts, sweets"
Chocolate creams,2,100,433.33,,13.33,13.33,0,80,"Desserts, sweets"
Fudge,2 pieces,100,411.11,,13.33,12.22,0.11,88.89,"Desserts, sweets"
Hard candies,1 oz.,100,321.43,,0,0,0,100,"Desserts, sweets"
Marshmallows,5,100,326.67,3.33,0,0,0,76.67,"Desserts, sweets"
Milk chocolate,2-oz. bar,100,517.86,3.57,10.71,10.71,0.36,78.57,"Desserts, sweets"
Chocolate syrup,2 T.,100,200,,,,0,55,"Desserts, sweets"
Doughnuts,1,100,409.09,6.06,21.21,12.12,,51.52,"Desserts, sweets"
"Gelatin, made with water",1 cup,100,64.85,1.67,,,0,15.06,"Desserts, sweets"
Honey,2 T.,100,285.71,,0,0,0,71.43,"Jams, Jellies"
Ice cream,2 cups,100,83.33,0,0,4,3.33,0,"Desserts, sweets"
Ices,1 cup,100,78,0,0,0,0,32,"Desserts, sweets"
preserves,1 T.,100,275,0,0,0,,70,"Jams, Jellies"
Jellies,1 T.,100,250,0,0,0,0,65,"Jams, Jellies"
Molasses,1 T.,100,225,0,0,0,40,55,"Jams, Jellies"
Cane Syrup,1 T.,100,250,0,0,0,0,65,"Jams, Jellies"
"9"" diam. pie",1 slice,100,244.44,2.22,9.63,8.15,0.07,39.26,"Desserts, sweets"
Cherry Pie,1 slice,100,251.85,2.22,9.63,8.15,0.07,40.74,"Desserts, sweets"
Custard,1 slice,100,203.85,5.38,8.46,7.69,0,26.15,"Desserts, sweets"
Lemon meringue,1 slice,100,250,3.33,10,8.33,0.08,37.5,"Desserts, sweets"
Mince,1 slice,100,251.85,2.22,6.67,5.93,0.52,45.93,"Desserts, sweets"
Pumpkin Pie,1 slice,100,203.85,3.85,9.23,8.46,6.15,26.15,"Desserts, sweets"
Puddings Sugar,1 cup,100,385,0,0,0,0,99.5,"Desserts, sweets"
3 teaspoons sugar,1 T.,100,416.67,0,0,0,0,100,"Desserts, sweets"
"Brown, firm-packed, dark sugar",1 cup,100,370.45,0,,0,0,95.45,"Jams, Jellies"
Syrup,2 T.,100,250,0,0,0,0,62.5,"Jams, Jellies"
table blends sugar,2 T.,100,275,0,0,0,0,72.5,"Jams, Jellies"
Tapioca cream pudding,1 cup,100,134,4,4,3.6,0,16.8,"Desserts, sweets"
Almonds,1/2 cup,100,607.14,18.57,54.29,40,2.57,18.57,Seeds and Nuts
roasted and salted,1/2 cup,100,627.14,18.57,57.14,44.29,2.57,18.57,Seeds and Nuts
Brazil nuts,1/2 cup,100,652.86,14.29,67.14,44.29,2.86,10,Seeds and Nuts
Cashews,1/2 cup,100,560,17.14,45.71,40,1.29,28.57,Seeds and Nuts
coconut sweetened,1/2 cup,100,548,2,40,38,4,52,Seeds and Nuts
Peanut butter,1/3 cup,100,600,24,50,34,1.8,18,Seeds and Nuts
"Peanut butter, natural",1/3 cup,100,568,26,48,20,1.8,16,Seeds and Nuts
Peanuts,1/3 cup,100,580,26,50,32,2.4,18,Seeds and Nuts
Pecans,1/2 cup,100,659.62,9.62,67.31,48.08,2.12,13.46,Seeds and Nuts
Sesame seeds,1/2 cup,100,560,18,48,26,6.2,20,Seeds and Nuts
Sunflower seeds,1/2 cup,100,560,24,52,14,3.8,20,Seeds and Nuts
Walnuts,1/2 cup,100,650,14,64,14,2,16,Seeds and Nuts
Beer,2 cups,100,47.5,,0,0,0,1.67,"Drinks,Alcohol, Beverages"
Gin,1 oz.,100,250,0,0,0,0,,"Drinks,Alcohol, Beverages"
Wines,1/2 cup,100,136.67,,0,0,0,7.5,"Drinks,Alcohol, Beverages"
Table (12.2% alcohol),1/2 cup,100,83.33,,0,0,0,4.17,"Drinks,Alcohol, Beverages"
Carbonated drinks Artificially sweetened,12 oz.,100,0,0,0,0,0,0,"Drinks,Alcohol, Beverages"
Club soda,12 oz.,100,0,0,0,0,0,0,"Drinks,Alcohol, Beverages"
Cola drinks,12 oz.,100,39.6,0,0,0,0,10.98,"Drinks,Alcohol, Beverages"
Fruit-flavored soda,12 oz.,100,46.53,0,0,0,0,12.14,"Drinks,Alcohol, Beverages"
Ginger ale,12 oz.,100,30.35,0,0,0,0,8.09,"Drinks,Alcohol, Beverages"
Root beer,12 oz.,100,40.46,0,0,0,0,10.12,"Drinks,Alcohol, Beverages"
Coffee,1 cup,100,1.3,,0,0,0,0.43,"Drinks,Alcohol, Beverages"
Tea,1 cup,100,1.74,0,,0,0,0.43,"Drinks,Alcohol, Beverages"
